Nr_of_mutations,subject,minLL
1,y7a6denlnqvwcgm,172.2522988403569
1,tf2ekjffoeoptr3,199.83364633217644
10,4r8fa9xh0zzco6o,208.50782854260927
1,a9tn75magy8nffy,187.1420397054495
10,rbrzxgywqun5ned,163.61009788706792
1,jlbt4al7q4sv0kj,190.92951575988263
1,lomhl7jw27e38km,180.48215947327412
10,jtdzsxkh2scccvw,183.68974348717268
1,q3rm4bg3z295hv5,194.31298616755936
10,y0g9hknjyys0m49,182.89486642195902
1,uet3pdw7hgm1hea,158.47736731700607
10000,2het2jcuqxrh16x,193.1449303063748
10,pqo0sdtzqqhkq76,145.72926984468265
5,g63luoo50ve7yyn,178.77325903047696
1,5vuexcfs8r2v26t,184.6766354836155
10,us6grs84gamvlyg,112.18561629468141
1,fb8xdh3czx77hyn,154.436795890442
10,rahonpod5yv68g4,125.5007287953807
10,9ckz34m3thm405a,108.06548123347598
5,dba0gupfpezprom,176.04400860134535
10,4z5220nwml6k16r,176.91925146016285
1,ylraknlb7m2m4j8,190.8760971751537
1,ygop6p10kgt4a4w,169.57244581082958
5,anajk6su5f9k9yb,186.23780314919054
5,qcurxvucaexqxs8,189.72804973381443
10,bvoobt12gur23nj,176.00714351550337
10,zrk9ubdb0jcwyfh,153.6621204516979
5,je9la01s4txjkw5,137.63215538647827
1,cz7ln2tal5qhfz1,130.05451430242402
100,lymkfw9n1mft0no,152.06731822560891
1,t7w0f2l0exzmotj,170.82518699627576
10,jfnmbjt4xn1r4dg,176.36449186295815
10,0kousukd07tco21,159.7123877337004
1,5mptj6ff8jp8fan,201.96379841620723
1,d4o3knz0mpk1e3r,187.33545236963408
1000,yvs2167kyhkctcg,116.33574784092586
1,v2dh8a69mhuhkqz,175.4547075678707
10,cd1ooce50gh5xra,188.37280272693448
100,edj8zsg91okuwrc,184.67516660879176
5,4w9ejvvn5wn1gp4,176.7362605693566
5,zybgre563nuk6gb,201.07036010125154
10,gcbscmvhn2vt6bq,181.24706506502324
1000,qn2bd9kkow9cfv1,159.7338192515982
1,zjckc3bo5wlwdhf,187.07327047833846
10,6a0rzgq5xfwq5gb,160.27240182739126
1,2umoxqltydb26ta,168.38214376034534
1,krtzqhvu9bkamrg,211.7009057566923
10000,3jubrevqkxk105x,151.9794620215688
1,3ygub809y5e0rxr,184.14427409262723
10,a2pxd76fec08wqv,193.6182935048967
5,h6qct37mx0ek964,157.17021494885898
1,rtd925uhy78rvmr,127.09967023153324
5,qbzttsocef3cc2y,176.77379667872577
10,ub40eh4k8rdgvtb,133.34898872210923
5,fo7rrkaarq1yxbk,183.17473742010634
5,q5ep7vxrajzuy3s,168.18571854487547
1,gqbcw11bbup9p63,181.24260751546421
5,bp49s1tkfbb8xru,99.81683362386796
10,vrlt89awtbuehfx,169.20725092621964
1,5l5ksa2v5z1xcrs,138.6367811544071
1,m50kxs0ne7ln5xe,147.85601188075566
10,wdhmud3k27y9347,153.66929170704896
1,s0kptdmjr5nhxj4,126.07368682597652
10,x03mf9pz89y5s1k,165.6276952389855
10,k45h5lxk13xjkxs,177.1869263783646
1000,mqng9gal5nqwgz9,195.2950630657746
100,fhx07b8nwvnqhok,174.21005742003632
1,z4po88qwrs63ldg,156.0662517407698
1000,xyvdwfe8z64oyoz,174.87032799074137
1,z2x1ybgywapr8x0,189.76315443240844
1,zpdbjkc3r3564ye,186.76299707231593
1,3j2uzccgoqa3u2m,169.00008020344472
10000,vum2fldfgzx1jw1,166.7771494997603
